2026-07-10 23:23:56 — [INFO] Detected sign: "E"
2026-07-10 23:23:56 — [INFO] Detected sign: "E"
2026-07-10 23:23:56 — [INFO] Detected sign: "E"
2026-07-10 23:23:56 — [INFO] Detected sign: "E"
2026-07-10 23:23:56 — [INFO] Detected sign: "E"
2026-07-10 23:23:56 — [INFO] Detected sign: "E"
2026-07-10 23:23:56 — [INFO] Detected sign: "E"
2026-07-10 23:23:56 — [INFO] Detected sign: "E"
2026-07-10 23:23:56 — [INFO] Detected sign: "E"
2026-07-10 23:23:56 — [INFO] Detected sign: "E"
2026-07-10 23:23:56 — [INFO] Detected sign: "E"
2026-07-10 23:23:56 — [INFO] Detected sign: "E"
2026-07-10 23:23:56 — [INFO] Detected sign: "E"
2026-07-10 23:23:56 — [INFO] Detected sign: "E"
2026-07-10 23:23:56 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:57 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:58 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
2026-07-10 23:23:59 — [INFO] Detected sign: "E"
